x,Curve1
2.66469,0.575139
3.03542,0.533491
3.58826,0.49602
3.95899,0.454373
4.51236,0.412735
5.0652,0.375264
5.80122,0.333635
6.53616,0.30034
7.45429,0.262888
9.47265,0.19216
10.755,0.16306
12.2194,0.138136
13.8654,0.121555
15.5109,0.109141
17.3379,0.10507
19.1649,0.100998
20.9908,0.10526
22.8173,0.105355
24.6432,0.109617
26.286,0.118036
28.1119,0.122297
29.7546,0.130716
31.5806,0.134978
33.4065,0.13924
35.0492,0.147659
36.8757,0.147754
38.7016,0.152016
40.5281,0.152111
42.354,0.156373
44.1805,0.156468
46.007,0.156563
47.8329,0.160825
49.6588,0.165086
51.3021,0.169339
53.128,0.1736
54.9534,0.182029
56.5962,0.190448
58.4215,0.198876
60.0637,0.211462
61.7059,0.224047
63.5302,0.240809
64.9887,0.261718
66.6292,0.286804
68.0872,0.31188
69.3619,0.341113
70.6366,0.370346
71.5455,0.403726
72.637,0.437117
73.5454,0.474664
74.2711,0.512202
76.0829,0.624796
76.6254,0.666491
77.518,0.824871
77.6952,0.866547
